feature,importance_pct,direction,model,congress,session,chamber,roll_call_number,model_accuracy,sample_size,yes_votes,no_votes
region_Plains,1.2769333342617473,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Republican_Southeast,1.2292078381753964,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Democrat_Rocky Mountain,1.2265907519392523,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
is_married,1.208132159938253,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Democrat_Southeast,1.1627958265861063,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Republican_Plains,1.120639163781382,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_cosponsor_Democrat_1,1.0592057078291321,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
seniority_Junior,0.991110381426013,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Democrat_Southwest,0.9068379389182717,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
clean_religion_Unaffiliation/Unknown,0.7930233310562036,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
staffer_turnover_rate,0.7383722279886056,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Republican_Southwest,0.6816170705437045,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
clean_religion_Jewish,0.6527631844601904,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
seniority_Mid,0.6151319240795174,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Republican_Rocky Mountain,0.5062728665390055,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
gender_M,0.33664067787133684,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
clean_religion_Mormon,0.2462745086927735,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
region_Southwest,0.22522086837456706,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_Democrat,0.22401350264624553,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Republican_Great Lakes,0.21105318135511034,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Republican_Far West,0.18837913959437183,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
race_id_Black,0.13968576269709643,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
seniority_Freshman,0.11012295289404142,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
age,0.09683948119223346,negative,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Republican_Northeast,0.07168492567422201,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_cosponsor_Republican_0,0.04905222987130589,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_region_Republican_Mid-Atlantic,0.04399858948679131,positive,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
party_cosponsor_Independent_1,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
race_id_Biracial,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
race_id_Arab,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
clean_religion_Hindu,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
committee_membership,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
race_id_Native American,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
clean_religion_Muslim,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9239130434782609,92,82,10
