feature,importance_pct,direction,model,congress,session,chamber,roll_call_number,model_accuracy
region_Southeast,4.677850104358621,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
party_Democrat,3.6710531174058674,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
party_Independent,3.651889614427481,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
region_Plains,3.43133561786176,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
race_id_Hispanic,3.393643611551847,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
clean_religion_Catholic,3.2230749102121035,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
region_Rocky Mountain,3.2124180046818003,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
clean_religion_Buddhist,3.0421161215467234,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
military_service,2.932878152111398,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
clean_religion_Unaffiliation/Unknown,2.8608846982801523,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
clean_religion_Protestant Christian,2.2156771186696798,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
years_of_experience,1.5570074355950596,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
region_Southwest,1.4661583793435369,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
gender_M,1.4047804484814808,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
gender_F,1.4043113422454614,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
years_of_staffer_experience,1.19684829599346,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
staffer_turnover_rate,1.0140990368098985,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
race_id_Black,0.5850770167202951,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
is_married,0.4538990307398351,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
clean_religion_Mormon,0.4240778722523162,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
age,0.3295399805709126,negative,LogisticRegression,119,1,Senate,2,0.9130434782608695
clean_religion_Jewish,0.03970181245675798,positive,LogisticRegression,119,1,Senate,2,0.9130434782608695
clean_religion_Muslim,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9130434782608695
race_id_Arab,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9130434782608695
committee_membership,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9130434782608695
clean_religion_Hindu,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9130434782608695
race_id_Biracial,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9130434782608695
race_id_Native American,0.0,neutral,LogisticRegression,119,1,Senate,2,0.9130434782608695
age,12.91382199239709,negative,RandomForest,119,1,Senate,2,1.0
years_of_staffer_experience,11.171533778361704,negative,RandomForest,119,1,Senate,2,1.0
years_of_experience,10.990917199743501,negative,RandomForest,119,1,Senate,2,1.0
staffer_turnover_rate,10.534309218599304,negative,RandomForest,119,1,Senate,2,1.0
region_Northeast,6.357386567237679,negative,RandomForest,119,1,Senate,2,1.0
race_id_Asian American/Pacific Islander,4.581137543406097,negative,RandomForest,119,1,Senate,2,1.0
region_Far West,4.470934259126356,negative,RandomForest,119,1,Senate,2,1.0
cosponsorship_status,4.074199289393152,neutral,RandomForest,119,1,Senate,2,1.0
race_id_Caucasian,3.4973862921357264,neutral,RandomForest,119,1,Senate,2,1.0
clean_religion_Buddhist,3.2129594997182127,negative,RandomForest,119,1,Senate,2,1.0
party_Democrat,2.826005094145289,negative,RandomForest,119,1,Senate,2,1.0
gender_M,2.658063716877002,neutral,RandomForest,119,1,Senate,2,1.0
party_Republican,2.4237574184872086,neutral,RandomForest,119,1,Senate,2,1.0
clean_religion_Protestant Christian,2.134227349250933,neutral,RandomForest,119,1,Senate,2,1.0
gender_F,2.0747013443385685,negative,RandomForest,119,1,Senate,2,1.0
race_id_Hispanic,1.9415069207781184,negative,RandomForest,119,1,Senate,2,1.0
clean_religion_Unaffiliation/Unknown,1.9402761469267626,negative,RandomForest,119,1,Senate,2,1.0
military_service,1.8309341688185223,positive,RandomForest,119,1,Senate,2,1.0
region_Plains,1.7186428409273382,positive,RandomForest,119,1,Senate,2,1.0
clean_religion_Jewish,1.4636331391168096,negative,RandomForest,119,1,Senate,2,1.0
party_Independent,1.2855073689461713,negative,RandomForest,119,1,Senate,2,1.0
is_married,1.266299600730495,neutral,RandomForest,119,1,Senate,2,1.0
clean_religion_Catholic,1.1706605779070687,positive,RandomForest,119,1,Senate,2,1.0
race_id_Black,0.9350040677899818,negative,RandomForest,119,1,Senate,2,1.0
region_Great Lakes,0.7687217301486106,positive,RandomForest,119,1,Senate,2,1.0
region_Southwest,0.6507833305713883,negative,RandomForest,119,1,Senate,2,1.0
region_Mid-Atlantic,0.5122558957834848,positive,RandomForest,119,1,Senate,2,1.0
region_Southeast,0.49385595625596734,positive,RandomForest,119,1,Senate,2,1.0
region_Rocky Mountain,0.10057769208146575,positive,RandomForest,119,1,Senate,2,1.0
clean_religion_Muslim,0.0,neutral,RandomForest,119,1,Senate,2,1.0
clean_religion_Mormon,0.0,positive,RandomForest,119,1,Senate,2,1.0
race_id_Arab,0.0,neutral,RandomForest,119,1,Senate,2,1.0
clean_religion_Hindu,0.0,neutral,RandomForest,119,1,Senate,2,1.0
committee_membership,0.0,neutral,RandomForest,119,1,Senate,2,1.0
race_id_Biracial,0.0,neutral,RandomForest,119,1,Senate,2,1.0
race_id_Native American,0.0,neutral,RandomForest,119,1,Senate,2,1.0
party_Republican,52.80537414550781,neutral,XGBoost,119,1,Senate,2,1.0
cosponsorship_status,22.494226455688477,neutral,XGBoost,119,1,Senate,2,1.0
years_of_experience,6.939183712005615,negative,XGBoost,119,1,Senate,2,1.0
years_of_staffer_experience,4.69723653793335,negative,XGBoost,119,1,Senate,2,1.0
staffer_turnover_rate,4.648106098175049,negative,XGBoost,119,1,Senate,2,1.0
race_id_Caucasian,4.021552085876465,neutral,XGBoost,119,1,Senate,2,1.0
gender_F,2.176262378692627,negative,XGBoost,119,1,Senate,2,1.0
age,1.4932345151901245,negative,XGBoost,119,1,Senate,2,1.0
region_Northeast,0.7248276472091675,negative,XGBoost,119,1,Senate,2,1.0
region_Plains,0.0,positive,XGBoost,119,1,Senate,2,1.0
region_Great Lakes,0.0,positive,XGBoost,119,1,Senate,2,1.0
region_Mid-Atlantic,0.0,positive,XGBoost,119,1,Senate,2,1.0
region_Southwest,0.0,negative,XGBoost,119,1,Senate,2,1.0
region_Rocky Mountain,0.0,positive,XGBoost,119,1,Senate,2,1.0
region_Southeast,0.0,positive,XGBoost,119,1,Senate,2,1.0
committee_membership,0.0,neutral,XGBoost,119,1,Senate,2,1.0
is_married,0.0,neutral,XGBoost,119,1,Senate,2,1.0
region_Far West,0.0,negative,XGBoost,119,1,Senate,2,1.0
party_Independent,0.0,negative,XGBoost,119,1,Senate,2,1.0
gender_M,0.0,neutral,XGBoost,119,1,Senate,2,1.0
clean_religion_Protestant Christian,0.0,neutral,XGBoost,119,1,Senate,2,1.0
clean_religion_Buddhist,0.0,negative,XGBoost,119,1,Senate,2,1.0
clean_religion_Catholic,0.0,positive,XGBoost,119,1,Senate,2,1.0
clean_religion_Hindu,0.0,neutral,XGBoost,119,1,Senate,2,1.0
clean_religion_Jewish,0.0,negative,XGBoost,119,1,Senate,2,1.0
clean_religion_Mormon,0.0,positive,XGBoost,119,1,Senate,2,1.0
clean_religion_Muslim,0.0,neutral,XGBoost,119,1,Senate,2,1.0
clean_religion_Unaffiliation/Unknown,0.0,negative,XGBoost,119,1,Senate,2,1.0
party_Democrat,0.0,negative,XGBoost,119,1,Senate,2,1.0
race_id_Arab,0.0,neutral,XGBoost,119,1,Senate,2,1.0
race_id_Asian American/Pacific Islander,0.0,negative,XGBoost,119,1,Senate,2,1.0
race_id_Biracial,0.0,neutral,XGBoost,119,1,Senate,2,1.0
race_id_Black,0.0,negative,XGBoost,119,1,Senate,2,1.0
race_id_Hispanic,0.0,negative,XGBoost,119,1,Senate,2,1.0
race_id_Native American,0.0,neutral,XGBoost,119,1,Senate,2,1.0
military_service,0.0,positive,XGBoost,119,1,Senate,2,1.0
party_Democrat,28.649084687314552,negative,LogisticRegression,119,1,House,3,1.0
party_Republican,28.64906937037956,positive,LogisticRegression,119,1,House,3,1.0
race_id_Caucasian,4.595035544924274,positive,LogisticRegression,119,1,House,3,1.0
race_id_Black,3.8741823801751436,negative,LogisticRegression,119,1,House,3,1.0
region_Far West,3.285117430568078,negative,LogisticRegression,119,1,House,3,1.0
clean_religion_Protestant Christian,2.982712507962855,positive,LogisticRegression,119,1,House,3,1.0
region_Northeast,2.931211840702519,negative,LogisticRegression,119,1,House,3,1.0
region_Southeast,2.6435744406234107,positive,LogisticRegression,119,1,House,3,1.0
gender_F,2.356511949137017,negative,LogisticRegression,119,1,House,3,1.0
gender_M,2.356496632202029,positive,LogisticRegression,119,1,House,3,1.0
military_service,2.0988841307743025,positive,LogisticRegression,119,1,House,3,1.0
clean_religion_Jewish,1.8532716633645392,negative,LogisticRegression,119,1,House,3,1.0
clean_religion_Unaffiliation/Unknown,1.777631259872972,negative,LogisticRegression,119,1,House,3,1.0
region_Plains,1.658141772498516,positive,LogisticRegression,119,1,House,3,1.0
region_Southwest,1.557913071048783,positive,LogisticRegression,119,1,House,3,1.0
years_of_experience,1.243840123481345,negative,LogisticRegression,119,1,House,3,1.0
clean_religion_Mormon,1.0562427560602103,positive,LogisticRegression,119,1,House,3,1.0
region_Rocky Mountain,0.9467098337549363,positive,LogisticRegression,119,1,House,3,1.0
region_Mid-Atlantic,0.8522337649922339,negative,LogisticRegression,119,1,House,3,1.0
race_id_Hispanic,0.7645954099909312,negative,LogisticRegression,119,1,House,3,1.0
clean_religion_Catholic,0.5258799407733648,positive,LogisticRegression,119,1,House,3,1.0
race_id_Asian American/Pacific Islander,0.5223200718895862,negative,LogisticRegression,119,1,House,3,1.0
clean_religion_Hindu,0.49352491841787044,negative,LogisticRegression,119,1,House,3,1.0
staffer_turnover_rate,0.4383739168086327,negative,LogisticRegression,119,1,House,3,1.0
race_id_Arab,0.3796070755789646,positive,LogisticRegression,119,1,House,3,1.0
race_id_Native American,0.2656959434432054,positive,LogisticRegression,119,1,House,3,1.0
region_Great Lakes,0.2622086014021943,positive,LogisticRegression,119,1,House,3,1.0
