registrant_lobby_actor_id,firm,lobbyists
154044,Takeda Pharmaceuticals U.S.A. Inc.,5
244786,Niskanen Center,5
283699,1607 Strategies LLC,5
220471,Kids in Need of Defense,5
145638,CONSILIO Group,5
54354,BGR Group,5
315137,Battelle Memorial Institute,5
99310,Personal Care Products Council,5
346445,Ferox Strategies II LLC,4
207253,Medtronic Inc.,4
80604,ENS Resources Inc.,4
107630,Jackson National Life Insurance Co.,4
215482,Federal Science Partners LLC,4
165988,Communications Workers of America,4
310294,United Launch Alliance LLC,4
220292,Iseman & Associates LLC,4
360799,FFG Group,4
298839,"Meeks, Butera & Israel PLLC",4
17462,ERISA Industry Committee,4
10223,Japan Bank for International Cooperation,4
159844,Occidental Petroleum Corp.,4
332274,Jacobs Solutions Inc.,4
43421,United Spinal Association,4
15163,Bechtel National Inc.,4
1415,Carmen Group Inc.,4
61364,MGM Resorts International,4
