person_id,first_name,last_name,party_name,us_state_id,district_no,display_name,Chamber,current_staff_count,staff_departed,turnover_rate
51216,Mitch,McConnell,Republican,KY,2,Sen. Mitch McConnell R-KY,Senate,57,12,0.21052631578947367
51675,Roger,Wicker,Republican,MS,2,Sen. Roger Wicker R-MS,Senate,57,12,0.21052631578947367
196306,Hakeem,Jeffries,Democrat,NY,8,Rep. Hakeem Jeffries D-NY-8,House,57,8,0.14035087719298245
211545,Cory,Booker,Democrat,NJ,2,Sen. Cory Booker D-NJ,Senate,57,4,0.070175439
259496,Brian,Mast,Republican,FL,21,Rep. Brian Mast R-FL-21,House,58,10,0.1724137931034483
51160,Maria,Cantwell,Democrat,WA,1,Sen. Maria Cantwell D-WA,Senate,58,7,0.1206896551724138
66832,Jim,Risch,Republican,ID,1,Sen. Jim Risch R-ID,Senate,59,14,0.23728813559322035
51535,Jerry,Moran,Republican,KS,1,Sen. Jerry Moran R-KS,Senate,59,12,0.2033898305084746
51173,Mike,Crapo,Republican,ID,2,Sen. Mike Crapo R-ID,Senate,59,9,0.15254237288135594
198766,Tom,Cotton,Republican,AR,2,Sen. Tom Cotton R-AR,Senate,59,6,0.1016949152542373
51170,John,Cornyn,Republican,TX,1,Sen. John Cornyn R-TX,Senate,60,15,0.25
51745,Jim,Jordan,Republican,OH,4,Rep. Jim Jordan R-OH-4,House,60,13,0.21666666666666667
51500,Ed,Markey,Democrat,MA,2,Sen. Ed Markey D-MA,Senate,60,7,0.11666666666666667
201768,Brian,Schatz,Democrat,HI,2,Sen. Brian Schatz D-HI,Senate,60,2,0.033333333
151828,Rand,Paul,Republican,KY,1,Sen. Rand Paul R-KY,Senate,61,17,0.2786885245901639
198768,Tammy,Duckworth,Democrat,IL,2,Sen. Tammy Duckworth D-IL,Senate,61,11,0.18032786885245902
260072,James,Comer,Republican,KY,1,Rep. James Comer R-KY-1,House,63,13,0.20634920634920634
175586,Rick,Scott,Republican,FL,2,Sen. Rick Scott R-FL,Senate,63,12,0.19047619047619047
51310,Shelley Moore,Capito,Republican,WV,2,Sen. Shelley Moore Capito R-WV,Senate,64,11,0.171875
51242,John,Thune,Republican,SD,2,Sen. John Thune R-SD,Senate,64,6,0.09375
242539,Mike,Johnson,Republican,LA,4,Rep. Mike Johnson R-LA-4,House,65,15,0.23076923076923078
51844,Sheldon,Whitehouse,Democrat,RI,2,Sen. Sheldon Whitehouse D-RI,Senate,65,13,0.2
51842,Amy,Klobuchar,Democrat,MN,2,Sen. Amy Klobuchar D-MN,Senate,66,15,0.22727272727272727
66836,Jeff,Merkley,Democrat,OR,1,Sen. Jeff Merkley D-OR,Senate,66,5,0.075757576
151800,Tim,Scott,Republican,SC,1,Sen. Tim Scott R-SC,Senate,67,21,0.31343283582089554
151824,Richard,Blumenthal,Democrat,CT,1,Sen. Richard Blumenthal D-CT,Senate,67,10,0.14925373134328357
34364,Jon,Ossoff,Democrat,GA,1,Sen. Jon Ossoff D-GA,Senate,67,5,0.074626866
51219,Patty,Murray,Democrat,WA,2,Sen. Patty Murray D-WA,Senate,68,9,0.1323529411764706
51503,Kirsten,Gillibrand,Democrat,NY,1,Sen. Kirsten Gillibrand D-NY,Senate,69,26,0.37681159420289856
51605,Bernie,Sanders,Independent,VT,2,Sen. Bernie Sanders I-VT,Senate,69,9,0.13043478260869565
66837,Mark,Warner,Democrat,VA,2,Sen. Mark Warner D-VA,Senate,69,3,0.043478260869565216
